Image1,Image2,Cosine_Similarity,MSE,KL_Divergence,Manhattan_Distance,Minkowski_Distance
gen_image.png,4_f5c6d95aa704ddae552538e568af73f6.jpg,0.3404304,3.0726204,inf,1742.0665,35.81475
gen_image.png,20_84a7824d2fda7c898126eac6f6c5ea96--illuminated-letters-illuminated-manuscript.jpg,0.5182466,1.2221843,inf,1213.8307,20.575747
gen_image.png,19_6e24bce8a76f67ddc26ac82c0338e076.jpg,0.52256906,1.2295377,inf,1183.9585,21.359285
gen_image.png,12_imA8138_RGB-1024x721.jpg,0.5849807,0.9020833,inf,909.1912,18.796453
gen_image.png,13_illuminated-letter-s-in-a-medieval-style-mary-evans-picture-library.jpg,0.5267004,1.1615183,inf,1069.9191,21.49605
gen_image.png,8_a5a459236fa9504d2c402c7f826ec013.jpg,0.5751956,0.96385306,inf,1009.73676,18.91202
gen_image.png,28_d9827d07453fb3835c7f271c0fc6e236.jpg,0.42921114,1.2523355,inf,1202.9644,22.090582
gen_image.png,21_8a8bd9e2aa9224982328245b882f69d4.jpg,0.51560915,1.1210033,inf,1072.6023,20.443521
gen_image.png,11_b6b8d83042fdd260e132db44243a725c.jpg,0.49174708,1.1551161,inf,1128.632,20.552662
gen_image.png,22_eff871d978760b39815191398a9e84e6.jpg,0.5059129,1.1900115,inf,1195.8813,20.494705
gen_image.png,6_large.jpg,0.62027586,0.83725154,inf,904.86115,18.366486
gen_image.png,2_medieval-illuminated-manuscripts-book-kells-chiro.jpg,0.5029342,1.5300317,inf,1411.7725,23.00736
gen_image.png,14_583-577x800.jpg,0.4653826,1.1476027,inf,1053.4524,21.296015
gen_image.png,25_6ce423dfb2e5e29e1b2ec850c616bcda.jpg,0.45569402,1.0436431,inf,1009.2434,20.228735
gen_image.png,9_img-illuminated-manuscripts.jpg,0.5805374,0.95561737,inf,981.79626,19.008488
gen_image.png,23_b5134085fe3735df8c929e19604f181c.jpg,0.5544491,1.1712396,inf,1140.6494,20.485922
gen_image.png,26_5f4ed8_3c85b0f79ff948fab6c80853d2a0ea86~mv2.jpg,0.59128225,1.081368,inf,1106.1221,19.880077
gen_image.png,10_medieval-illuminated-manuscripts-2.jpg,0.38371637,1.2114906,inf,1098.645,21.516787
gen_image.png,18_medieval-illuminated-manuscripts-1-687x1024.jpg,0.52816635,0.9386841,inf,975.61206,18.961948
gen_image.png,5_rou20170803-338.jpg,0.49750504,1.2020638,inf,1288.4312,20.471573
gen_image.png,15_15665a735025e143becbd63c8d028944.jpg,0.5497956,1.0391378,inf,1065.7239,19.84327
gen_image.png,29_84eb67683e6dd9aa1adcd586febbcb2a.jpg,0.3589235,1.4182274,inf,1188.5312,23.271992
gen_image.png,7_Deciphering-Secrets-The-Illuminated-Manuscripts-of-Medieval-Europe.jpeg,0.6490694,0.8731338,inf,1033.1536,17.532457
gen_image.png,17_2010EB6802.jpg,0.6376884,0.8075991,inf,898.3221,17.798649
gen_image.png,3_2009CD9790.jpg,0.58024526,0.97024214,inf,994.9314,19.236115
gen_image.png,1_boucicaut-meister_orig.jpg,0.56113476,1.0109514,inf,1037.2046,19.476751
gen_image.png,27_W148_000009_sap.jpg,0.52783954,0.9922368,inf,976.25073,19.869781
gen_image.png,24_849a362dcde19830ff5bc86875b572ea.jpg,0.3088468,1.502023,inf,1295.2638,23.93835
gen_image.png,30_1-history.jpg,0.5356344,0.99037933,inf,1001.77515,19.456198
gen_image.png,16_a273002h.jpg,0.46626696,1.2049829,inf,1214.856,20.873121
