Image1,Image2,Cosine_Similarity,MSE,KL_Divergence,Manhattan_Distance,Minkowski_Distance
gen_image.png,18_Ambrosius-Benson-The-Nativity-Yale-University-Art-Gallery.jpg,0.39933306,1.4596697,inf,1522.25,21.686832
gen_image.png,15_Ambrosius+Benson+Le+concert+apres+le+repas+(Louvre).jpg,0.37649587,1.4100647,inf,1405.5947,21.957329
gen_image.png,24_Ambrosius-Benson-El-abrazo-de-San-Joaquin-y-Santa-Ana-ante-la-puerta-dorada-Museo-del-Prado.jpg,0.39107373,1.3215566,inf,1381.0864,21.144848
gen_image.png,26_97ff9030-259a-49e7-a8d0-42c8b89d3927_570.Jpeg,0.41636944,1.2461112,inf,1286.7451,20.678778
gen_image.png,10_the-wedding-in-cana-ambrosius-benson.jpg,0.44689336,1.2973213,inf,1325.3198,21.018456
gen_image.png,28_2011_CKS_08008_0102_000(attributed_to_ambrosius_benson_an_elegant_company_with_musicians_seate).jpg,0.40632778,1.4036579,inf,1424.3716,21.770847
gen_image.png,6_Ambrosius+Benson+Madonna+and+child.jpg,0.51963174,1.060221,inf,1241.3748,19.228273
gen_image.png,30_Ambrosius-Benson-Portret-van-Otho-Stochoven.jpg,0.5311331,1.0154712,inf,1160.7087,19.127213
gen_image.png,25_ambrosius-benson-lombardy-ca-1495-bruges-1550--gentleman-praying-ca-1525--oil-on-panel-3-ambrosius-benson-c-1495-1550.jpg,0.48714355,1.1447268,inf,1301.8018,19.481392
gen_image.png,17_Ambrosius-Benson-Figura-femminile.jpg,0.55218315,1.107934,inf,1284.4735,19.266207
gen_image.png,"11_Ambrosius+Benson+Nacimiento+de+la+Virgen,+Museo+del+Prado,+Madrid.jpg",0.36005688,1.6454391,inf,1582.8667,23.30469
gen_image.png,16_ambrosius-benson-portrait-of-a-young-man-with-an-engagement-ring-ambrosius-benson.jpg,0.522269,1.024346,inf,1168.386,19.168793
gen_image.png,5_Ambrosius+Benson+-+Pietà+at+the+Foot+of+the+Cross.jpg,0.5500477,1.2245297,inf,1432.9958,19.106112
gen_image.png,"3_Ambrosius+Benson+-+Portrait+of+Anne+Stafford,+1535.jpg",0.50044894,1.1137644,inf,1290.0017,19.534054
gen_image.png,19_Ambrosius+Benson+and+workshop+(attrib.+to)+-+Conception+of+the+Virgin.jpg,0.50860167,1.1640906,inf,1304.6885,19.936153
gen_image.png,9_Ambrosius-Benson-Mary-Magdalene-reading.jpg,0.52883375,1.1287328,inf,1350.3484,19.146048
gen_image.png,13_dd1c8724-ad47-46a2-9285-b359ab6af43c.jpg,0.52745974,1.0993602,inf,1258.8406,18.918264
gen_image.png,4_Ambrosius+Benson+Deipara+Virgo+-.jpg,0.5031792,1.1514345,inf,1238.7585,20.282522
gen_image.png,23_1995_CKS_05527_0011_000(103315).jpg,0.43864948,1.221338,inf,1307.5549,20.3552
gen_image.png,29_Ambrosius_Benson-Portrait_of_an_Unknown_Gentleman.JPG,0.4962198,1.0882441,inf,1182.6957,20.066147
gen_image.png,12_1-the-lamentation-ambrosius-benson.jpg,0.47404093,1.3685356,inf,1473.7262,21.279108
gen_image.png,21_6096d2d7f2c53d908497c4f93be92904.png,0.58642375,1.1458893,inf,1291.7769,19.25434
gen_image.png,22_Ambrosius+Benson++Persian+Sibyl.jpg,0.45313314,1.2072971,inf,1342.1678,20.066174
gen_image.png,1_Ambrosius+Benson+Concert.jpg,0.34571546,1.5179734,inf,1462.446,22.598684
gen_image.png,20_Ambrosius-Benson-Madonna-and-Child-1.jpg,0.51570654,1.0700679,inf,1243.3141,19.195179
gen_image.png,8_2015_CKS_10392_0112_000(ambrosius_benson_and_studio_saint_luke124818).jpg,0.48914248,1.0773115,inf,1210.6702,19.475012
gen_image.png,"14_Ambrosius+Benson+-+Young+Woman+in+Orison+Reading+a+Book+of+Hours,+1891.jpg",0.5350715,1.0566244,inf,1228.9736,18.972658
gen_image.png,2_Ambrosius+Benson+(1495-1500+–+1550)-+The+Magdalen+Reading.jpg,0.5396749,1.0021591,inf,1176.9365,18.80619
gen_image.png,"7_Ambrosius+Benson+Ambrosius+Benson's+The+Magdalen+Reading,+1525.jpg",0.5347023,1.0669979,inf,1251.1223,19.211813
