Image1,Image2,Cosine_Similarity,MSE,KL_Divergence,Manhattan_Distance,Minkowski_Distance
gen_image.png,21_triptych.jpg,0.5811362,1.4843712,inf,1378.9668,23.188734
gen_image.png,1_Hieronymus-Bosch-The-Adoration-of-the-Magi.-Triptych-1494.jpg,0.5403254,1.7132587,inf,1479.7201,25.116936
gen_image.png,10_Triptych-Duccio-di-buoninsegna-oil-painting-1.jpg,0.53497523,1.5157595,inf,1317.4087,24.062439
gen_image.png,15_530f91abeeb96172a36a7ad84b8e6129.jpg,0.51220286,1.5832064,inf,1389.1523,23.901121
gen_image.png,16_1313_Triptychon_Adoration_1-2048x2048.jpg,0.5016653,1.6114177,inf,1380.6179,24.785671
gen_image.png,6_1*m60YdDO8uFMKm9M80DQodg.jpeg,0.5368662,1.7447672,inf,1546.053,24.395302
gen_image.png,28_What-Is-a-Triptych-848x530.jpg,0.53353,1.5498059,inf,1366.9752,23.889055
gen_image.png,14_2018.25-triptych.jpg,0.51015854,1.6256349,inf,1418.7319,24.75406
gen_image.png,13_Gallen_Kallela_The_Aino_Triptych-5c51947e4cedfd0001f9122b.jpg,0.4109701,2.0608056,inf,1637.9192,27.151669
gen_image.png,19_triptych-painting-museum-barcelona-photo-triptych-painting-national-art-museum-catalunya-barcelona-spain-130146983.jpg,0.4865714,1.717845,inf,1477.8066,24.737932
gen_image.png,17_134frar.jpg,0.36905038,2.069093,inf,1566.7002,27.813868
gen_image.png,9_the-haywain-triptych-bosch-hieronymus.jpg,0.49475923,1.8134011,inf,1460.8674,25.38766
gen_image.png,8_Master-of-the-Magdalen-Legend-the-Seven-Sorrows-of-Mary-The-Ashwellthorpe-Triptych-c.1519.jpg,0.48628926,1.8302755,inf,1586.4558,24.919474
gen_image.png,"4_Jan_van_Eyck_-_Triptych_of_Mary_and_Child,_St._Michael,_and_the_Catherine_-_Google_Art_Project.jpg",0.46577045,1.7585665,inf,1463.6729,25.511572
gen_image.png,12_Annunciation_Triptych_(Merode_Altarpiece)_MET_DP273206.jpg,0.5336286,1.6314502,inf,1451.6436,24.025414
gen_image.png,5_20211020-112650-900x1200.jpg,0.44442117,1.8743759,inf,1579.7228,25.503141
gen_image.png,3_the-haywain-triptych-hieronymus-bosch.jpg,0.5261974,1.6709764,inf,1418.6938,24.449755
gen_image.png,2_The-Morrison-Triptych-c-1500.jpg,0.55092305,1.4863224,inf,1330.5583,23.792934
gen_image.png,11_Triptych-Duccio-di-buoninsegna-oil-painting-3.jpg,0.48135036,1.7212856,inf,1494.8304,24.974154
gen_image.png,27_Gaddi_reconstructed_triptych.jpg,0.5157729,1.6264073,inf,1412.6938,24.623892
gen_image.png,7_the-triptych-of-the-sedano-family.jpg,0.5424623,1.5106425,inf,1331.0325,24.022827
gen_image.png,24_hieronymus-bosch-the-last-judgement-vienna-triptych-painting-circa-1482-TB2M3N.jpg,0.35795966,2.061819,inf,1551.4221,28.82254
gen_image.png,20_Hieronymus-Bosch-Last-Judgement-Triptych-3-.JPG,0.52972496,1.5814118,inf,1416.3168,23.565926
gen_image.png,25_Triptych-Art.jpg,0.34471506,2.1395779,inf,1705.2479,27.341394
gen_image.png,26_desert-sunset-full-triptych-frances-marino.jpg,0.2917884,2.3309402,inf,1676.5234,28.451601
gen_image.png,22_800px-Adriaen_Isenbrant_-_Triptych_-_WGA11878.jpg,0.51729983,1.6996714,inf,1447.248,24.853333
