Folder,Mean_1,Min_1,Max_1,Mean_2,Min_2,Max_2
Angry_Birds_Adults-Women_Women_Green_Fashion_Summer_2015_Casual_Printed_Garment_Measurements_in_Shor,0.53858817,0.45864844,0.5851955,0.50262296,0.45208186,0.5501035
Enroute_Women_Adults-Women_Women_Navy_Blue_Fashion_Summer_2012_Casual_Driving_Shoes_Casual_Shoes_Foo,0.5254596,0.49509597,0.5686966,0.49173626,0.42261454,0.5917351
FNF_Adults-Women_Women_Purple_Fashion_Fall_2012_Ethnic_Cotton_Blend_Cotton_Blend_Sarees_Apparel_Sare,0.54788125,0.4591971,0.6202034,0.5443794,0.32742622,0.623216
Playboy_Adults-Women_Women_Pink_Core_Spring_2017_Casual_1_NA_3_NA_60_24_Perfume_NA_NA_NA_Mild_NA_Fre,0.32749406,0.2388626,0.38317102,0.22612771,0.18265904,0.283419
FILA_Adults-Men_Men_Black_Fashion_Fall_2011_Casual_Casual_Shoes_Footwear_Shoes,0.42261648,0.34315276,0.4676122,0.4358282,0.3766767,0.45482978
Femella_Adults-Women_Women_Blue_Fashion_Summer_2012_Casual_Solid_To-Fit_Denotes_Body_Measurements_in,0.6392721,0.5775545,0.7073978,0.5973095,0.52406764,0.64197874
Portia_Adults-Women_Women_Brown_Fashion_Winter_2012_Casual_Open_Toe_Synthetic_Slip-On_Casual_Flats_F,0.45680556,0.42192,0.52339804,0.42476124,0.37968224,0.4735849
Fossil_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets,0.57482916,0.44546443,0.7089017,0.44861555,0.3160355,0.6581039
"Lino_Perros_Adults-Men_Men_Blue_Fashion_Winter_2015_Formal_Tie,_Cufflinks,_Pocket_Square_1_Accessory",0.56645375,0.53334475,0.6106751,0.5503231,0.5263302,0.6148462
Basics_Adults-Men_Men_Orange_Fashion_Fall_2011_Casual_Solid_Garment_Measurements_in_Short_Sleeves_Ca,0.7067447,0.68879116,0.72556883,0.6848115,0.6092097,0.7831836
United_Colors_of_Benetton_Adults-Women_Women_Olive_Fashion_Fall_2011_Casual_To-Fit_Denotes_Body_Meas,0.6160165,0.5935141,0.6438724,0.3907626,0.3610028,0.43281347
Jockey_Adults-Women_Women_Burgundy_Core_Winter_2015_Casual_Floral_NA_Briefs_Apparel_Innerwear,0.21161601,0.14539784,0.2632974,0.20909142,0.16113657,0.2515937
Arrow_Sport_Adults-Men_Men_White_Fashion_Fall_2011_Casual_Regular_Fit_Striped_Garment_Measurements_i,0.73167914,0.69426346,0.7672095,0.665404,0.5982281,0.73685527
FILA_Adults-Men_Men_Grey_Fashion_Fall_2012_Casual_Sneakers_Synthetic_Velcro_Mid-Top_Casual_Shoes_Foo,0.47894898,0.41156805,0.5602463,0.4266631,0.3351305,0.5477805
ADIDAS_Adults-Men_Men_Blue_Fashion_Summer_2012_Casual_Regular_Fit_Printed_Garment_Measurements_in_Sh,0.7182965,0.65086854,0.81298935,0.596732,0.53049046,0.6951891
,0.537513464,0.477176246666667,0.596562342666667,0.488574696,0.411528763,0.551245875
