Folder,Mean_1,Min_1,Max_1,Mean_2,Min_2,Max_2
John_Miller_Adults-Men_Men_Black_Fashion_Fall_2011_Formal_Regular_Fit_Checked_Garment_Measurements_i,0.64237726,0.49298754,0.69260085,0.6886974,0.6411594,0.7441437
SCULLERS_FOR_HER_Adults-Women_Women_Black_Fashion_Summer_2012_Casual_Slim_Fit_Solid_To-Fit_Denotes_B,0.7474929,0.6729142,0.8396965,0.6693869,0.60323405,0.72459435
Timberland_Adults-Men_Men_Green_Fashion_Summer_2011_Casual_Garment_Measurements_in_Shirts_Apparel_To,0.5439494,0.49774942,0.56924516,0.4244651,0.25685918,0.56658006
Madagascar_3_Kids-Boys_Boys_White_Fashion_Summer_2012_Casual_Garment_Measurements_in_Rompers_Apparel,0.43798128,0.37630245,0.5361241,0.3848047,0.3462042,0.47179818
French_Connection_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Slim_Fit_To-Fit_Denotes_Body_Measu,0.6106927,0.5396707,0.6958928,0.5902394,0.4480908,0.7098109
SPYKAR_Adults-Men_Men_White_Fashion_Summer_2011_Casual_Regular_Fit_Garment_Measurements_in_Short_Sle,0.5114542,0.4123295,0.5955162,0.50754803,0.42787856,0.54899836
Mod-acc_Adults-Women_Women_Black_Fashion_Summer_2012_Casual_Clutches_Accessories_Bags,0.32532454,0.23823178,0.42739344,0.3126547,0.23941171,0.4646991
Aneri_Adults-Women_Women_Blue_Fashion_Fall_2011_Ethnic_Garment_Measurements_in_Kurtas_Apparel_Topwea,0.54176664,0.46960533,0.612777,0.49621764,0.42151564,0.56691885
ADIDAS_Adults-Women_Women_Red_Fashion_Summer_2011_Casual_Flip_Flops_Footwear_Flip_Flops,0.48592514,0.4323346,0.5240538,0.49109498,0.45159605,0.52333856
Chromozome_Adults-Men_Men_Grey_Fashion_Summer_2016_Casual_Solid_Single_Outer_Elastic_Yes_Solid_Machi,0.64588916,0.5826814,0.6921735,0.6699554,0.5787569,0.7169217
Enamor_Adults-Women_Rose_Fashion_Summer_2017_Casual_NA_Back_Closure_Single_Regular_Solid_1_NA_Underw,0.5283941,0.26047772,0.66349626,0.38734657,0.2538239,0.5557194
Timex_Adults-Men_Men_Black_Fashion_Winter_2016_Casual_Synthetic_100_m_Mechanical_1_year_Battery_Casu,0.43192488,0.40667453,0.48160663,0.4784774,0.4506469,0.5072937
Do_u_speak_green_Adults-Women_Women_Cream_Fashion_Summer_2012_Casual_Printed_Garment_Measurements_in,0.45474935,0.34669688,0.5688127,0.4859306,0.41357473,0.5684304
Status_Quo_Adults-Men_Men_Blue_Fashion_Summer_2011_Casual_Striped_Garment_Measurements_in_Short_Slee,0.4451848,0.38448757,0.54965234,0.44394368,0.39570332,0.4907332
Vishudh_Adults-Women_Purple_Fashion_Fall_2011_Ethnic_Poly_Chiffon_Regular_Sleeves_Daily_Ethnic_Motif,0.550159,0.475044,0.6270435,0.5439661,0.4441407,0.6165124
,0.526884356666667,0.439212508,0.605072318666667,0.504981906666667,0.424839736,0.585099524
