Folder,Mean_1,Min_1,Max_1,Mean_2,Min_2,Max_2
Doodle_Kids-Girls_Women_Blue_Fashion_Fall_2011_Casual_Washed_To-Fit_Denotes_Body_Measurements_in_Cot,0.63123816,0.5671519,0.77659863,0.64334583,0.5791001,0.7207201
Puma_Adults-Men_Men_Blue_Fashion_Fall_2011_Sports_Regular_Fit_Printed_Garment_Measurements_in_Short_,0.6002549,0.57931495,0.6257382,0.6142157,0.5752205,0.64390707
SCULLERS_Adults-Men_Men_Purple_Fashion_Fall_2011_Casual_Regular_Fit_Checked_Garment_Measurements_in_,0.59401494,0.47760943,0.6808547,0.62065995,0.5122458,0.7106716
Murcia_Adults-Women_Women_Purple_Fashion_Winter_2015_Casual_Self_Design_Shoulder_Bag_NA_Casual_Regul,0.6189939,0.55591893,0.6982711,0.4865778,0.27501094,0.5673176
Buckaroo_Adults-Men_Men_Brown_Fashion_Summer_2012_Casual_Synthetic_Solid_Round_Toe_Everyday_Leather_,0.56279105,0.42088372,0.63157785,0.49651942,0.40856785,0.5716224
Fabindia_Adults-Women_Women_Blue_Fashion_Summer_2012_Casual_Clutches_Accessories_Bags,0.53989094,0.43707594,0.637586,0.29863602,0.24125017,0.34558588
Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA_,0.6833671,0.6084002,0.7866684,0.670333,0.63877267,0.70556617
FILA_Adults-Men_Men_White_Fashion_Fall_2011_Casual_Driving_Shoes_Casual_Shoes_Footwear_Shoes,0.51339364,0.4207161,0.57546604,0.4952795,0.38585764,0.58366156
Timex_Adults-Men_Men_White_Fashion_Winter_2016_Casual_Hybrid_Water_Resistant_Analogue_Watches_Access,0.36648643,0.24164712,0.49919996,0.359592,0.30264807,0.4544316
Hanes_Adults-Men_Men_White_Fashion_Summer_2016_Casual_Self_Design_2_Inner_Elastic_Yes_Self_Design_Ma,0.4995331,0.4014379,0.5572862,0.48347154,0.41989756,0.53660893
BULCHEE_Adults-Men_Men_Brown_Core_Winter_2015_Casual_Solid_Synthetic_Leather_NA_Wallets_Accessories_,0.64120615,0.6074023,0.69527984,0.5454161,0.3855596,0.5966688
Park_Avenue_Adults-Men_Men_Brown_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Oval_Clear_NA_NA_Sun,0.70976317,0.6198469,0.7959335,0.6821275,0.6106541,0.7634281
maxima_Adults-Women_Women_Silver_Fashion_Winter_2016_Casual_Water_Resistant_Analogue_Watches_Accesso,0.31166086,0.19231336,0.4909493,0.2797302,0.17528811,0.45286906
MTV_Adults-Women_Women_Brown_Fashion_Winter_2016_Casual_Plastic_Regular_Lens_Brown_Hard_Case_Sunglas,0.14595962,0.12735564,0.17692113,0.14568861,0.13300237,0.15271536
United_Colors_of_Benetton_Adults-Men_Men_Black_Fashion_Fall_2011_Casual_Printed_Garment_Measurements,0.5575429,0.53058964,0.58665323,0.5668379,0.5311061,0.619536
,0.531739790666667,0.452510935333333,0.614332272,0.492562071333333,0.411612105333333,0.561687348666667
