Folder,Mean_1,Min_1,Max_1,Mean_2,Min_2,Max_2
ADIDAS_Adults-Men_Men_Navy_Blue_Fashion_Summer_2012_Casual_Solid_Garment_Measurements_in_Short_Sleev,0.61749053,0.45330307,0.7517104,0.60041535,0.4482047,0.7416744
Ray-Ban_Adults-Men_Men_Metallic_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA_Sung,0.5351559,0.47121117,0.5985279,0.5434919,0.43116492,0.6213
Stoln_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Oval_Black_NA_Plastic_,0.72576153,0.67972434,0.7719913,0.67949545,0.5744565,0.7601288
Inc_5_Adults-Women_Women_Black_Fashion_Winter_2012_Casual_Open_Toe_Synthetic_Slip-On_Casual_Flats_Fo,0.51839334,0.4113419,0.5830488,0.40218192,0.3514318,0.4372635
Rockport_Adults-Men_Men_Navy_Blue_Fashion_Fall_2011_Casual_Flip_Flops_Footwear_Flip_Flops,0.42467532,0.32479113,0.48952594,0.47966537,0.40279496,0.58090067
Tokyo_Talkies_Adults-Women_Pink_Fashion_Summer_2012_Casual_Opaque_Cap_Sleeves_Casual_New_Basics_Typo,0.44752675,0.4081018,0.475972,0.43424612,0.4015876,0.46225613
Playboy_Adults-Men_Men_Blue_Core_Fall_2012_Casual_Flip_Flops_Footwear_Flip_Flops,0.50679773,0.42811382,0.5515577,0.5009891,0.4177626,0.62051886
Clarks_Adults-Men_Men_Black_Fashion_Fall_2012_Casual_Synthetic_Leather_Slip-On_Sandals_Footwear_Sand,0.44691962,0.2958433,0.6435021,0.46906266,0.41149795,0.5474011
Gini_and_Jony_Kids-Boys_Boys_Black_Fashion_Summer_2012_Casual_Regular_Fit_Solid_Garment_Measurements,0.65018344,0.5558679,0.7864629,0.616059,0.53782886,0.69615936
Facit_Adults-Men_Men_White_Fashion_Summer_2016_Casual_Self_Design_Single_Inner_Elastic_No_Self_Desig,0.58549595,0.49583283,0.63594556,0.24221413,0.13253257,0.6289442
Alayna_Adults-Women_Women_Black_Fashion_Summer_2012_Ethnic_Garment_Measurements_in_Short_Sleeves_Rou,0.5872948,0.5425578,0.61417323,0.58045506,0.51902926,0.6477406
Baggit_Adults-Women_Women_Purple_Fashion_Summer_2012_Casual_Leather_Handbags_Accessories_Bags,0.3980153,0.3003567,0.45631713,0.3258551,0.24152854,0.53015375
Red_Tape_Adults-Men_Men_Brown_Fashion_Winter_2018_Formal_Leather_Lace-Ups_Regular_Formal_Shoes_Footw,0.6217303,0.5233512,0.7030553,0.5673566,0.5101274,0.62309957
Park_Avenue_Adults-Men_Men_White_Fashion_Summer_2016_Casual_Round_Neck_NA_Cotton_Innerwear_Vests_App,0.5170318,0.46151572,0.56409985,0.60601103,0.56909966,0.65332127
Arrow_Woman_Adults-Women_Women_Red_Fashion_Summer_2012_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Bas,0.6722957,0.64049244,0.7188387,0.58391094,0.5186089,0.64739144
,0.550317867333333,0.466160341333333,0.622981920666667,0.508760648666667,0.431177081333333,0.61321691
