Folder,Mean_1,Min_1,Max_1,Mean_2,Min_2,Max_2
Lotto_Adults-Men_Men_Black_Fashion_Summer_2010_Casual_Flip_Flops_Footwear_Flip_Flops,0.5069896,0.47359115,0.5808407,0.4662215,0.36234188,0.61914253
FILA_Adults-Men_Men_Black_Fashion_Summer_2011_Casual_Casual_Shoes_Footwear_Shoes,0.44881168,0.42114764,0.47596994,0.4445457,0.37095645,0.5228592
DIVA_Adults-Women_Women_White_Fashion_Summer_2012_Ethnic_Garment_Measurements_in_Short_Sleeves_Round,0.49743956,0.4420665,0.57768345,0.42754126,0.39508784,0.4610633
maxima_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Water_Resistant_Analogue_Watches_Accessor,0.31384745,0.26388833,0.39513698,0.3666563,0.2687098,0.5419427
Q&Q_Kids-Unisex_Unisex_White_Fashion_Winter_2016_Casual_Free_Gifts_Free_Items_Free_Gifts,0.53731704,0.4618844,0.6468498,0.34233722,0.28279307,0.39487037
Wrangler_Adults_Women_Yellow_Fashion_Summer_2012_Casual_Opaque_Roll-Up_Sleeves_Casual_New_Basics_Ver,0.60505867,0.5169362,0.6593032,0.5210476,0.4521306,0.62699693
Baggit_Adults-Women_Women_Red_Fashion_Fall_2012_Casual_Sling_Bag_Synthetic_Handbags_Accessories_Bags,0.456281,0.25694114,0.7145216,0.32320672,0.25251758,0.4294299
Enroute_Teens_Kids-Boys_Boys_Black_Fashion_Summer_2012_Casual_Driving_Shoes_Casual_Shoes_Footwear_Sh,0.48856115,0.3386321,0.6179495,0.4969093,0.42239887,0.55138314
DKNY_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Metal_2_years_Mechanical_Water_Resistant_Ca,0.4818193,0.4057114,0.5676122,0.4369254,0.3008734,0.59300464
Aneri_Adults-Women_Women_Multi_Fashion_Summer_2012_Ethnic_Garment_Measurements_in_Three-Quarter_Slee,0.5373043,0.45391148,0.62046725,0.5663804,0.5537951,0.5896982
Fastrack_Adults-Men_Men_Brown_Fashion_Winter_2016_Casual_Wallets_Accessories_Wallets,0.56125385,0.4717256,0.75772756,0.5145952,0.36584696,0.68215066
Gini_and_Jony_Kids-Boys_Boys_White_Fashion_Summer_2012_Casual_Printed_Garment_Measurements_in_Short_,0.5788499,0.51965594,0.69453394,0.6149541,0.5647428,0.6788248
Flying_Machine_Adults-Women_Women_Black_Fashion_Summer_2012_Casual_Loose_Fit_Solid_To-Fit_Denotes_Bo,0.5713233,0.50953186,0.62388396,0.5578643,0.5371509,0.5885314
Puma_Adults-Women_Women_White_Fashion_Summer_2011_Sports_NA_3_months_NA_Synthetic_Medium_Running_No_,0.44902116,0.3127263,0.51926196,0.4850297,0.4424156,0.5461166
ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2011_Sports_Regular_Fit_Printed_Garment_Measurements_in_S,0.64719474,0.4672248,0.75744015,0.6556976,0.59734225,0.7192766
,0.512071513333333,0.421038322666667,0.613945479333333,0.481327486666667,0.41127354,0.569686064666667
