Folder,Mean_1,Min_1,Max_1,Mean_2,Min_2,Max_2
Colour_me_Adults-Men_Men_Silver_Core_Spring_2017_Casual_Perfume_and_Body_Mist_Personal_Care_Fragranc,0.48883396,0.40000197,0.592798,0.4406527,0.38252085,0.49550563
CASIO_Adults-Men_Silver_Fashion_Winter_2016_Casual_Metal_Battery_Casual_Single_Steel_Toned_Solid_Rou,0.5522,0.5046972,0.5863551,0.5318388,0.5088675,0.5786915
FILA_Adults-Men_Men_Black_Fashion_Fall_2012_Sports_Running_NA_Lace-Ups_Mesh_Regular_Sports_Shoes_Foo,0.44388375,0.32646865,0.5537863,0.46127504,0.34154543,0.5124247
Hanes_Adults-Men_Men_Black_Fashion_Summer_2016_Casual_Self_Design_Single_Outer_Elastic_Yes_Self_Desi,0.44246244,0.15456691,0.6461077,0.33181322,0.15028636,0.64192533
Catwalk_Adults-Women_Women_White_Fashion_Winter_2015_Casual_Sandals_Open_Toe_Ankle_Loop_Casual_Block,0.48119873,0.4167858,0.54358315,0.43917412,0.36898112,0.5356465
Flying_Machine_Adults-Women_Women_White_Fashion_Summer_2012_Casual_Regular_Fit_Printed_To-Fit_Denote,0.5244339,0.46025193,0.6223756,0.56716794,0.5015338,0.61153275
Revlon_Adults-Women_Women_Pink_Core_Spring_2017_Casual_1_12_Pink_24_6_Shine_City_Regular_Glossy_NA_L,0.50273687,0.43498462,0.6615683,0.54564095,0.44658375,0.6344692
Chromozome_Adults-Men_Men_Black_Fashion_Summer_2016_Casual_Solid_Inner_Elastic_Single_Long_Machine_W,0.74297076,0.7094417,0.8075524,0.71804225,0.6749412,0.767337
Puma_Adults-Women_Women_Black_Fashion_Fall_2011_Casual_Handbags_Accessories_Bags,0.51716936,0.48549482,0.55288494,0.46117178,0.37794432,0.56741637
Turtle_Adults-Men_Men_Brown_Fashion_Fall_2011_Casual_Slim_Fit_Checked_Garment_Measurements_in_Long_S,0.6189927,0.48283502,0.76252276,0.61570054,0.5167829,0.6912399
Puma_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Sandals_Footwear_Sandal,0.512113,0.41511643,0.5541929,0.5067329,0.3599105,0.6114246
Belmonte_Adults-Men_Men_Steel_Fashion_Fall_2011_Formal_Cufflinks_Accessories_Cufflinks,0.5177422,0.4506656,0.5734162,0.4703316,0.32548255,0.5437796
French_Connection_Adults-Men_Men_Red_Fashion_Summer_2012_Casual_Solid_Garment_Measurements_in_Short_,0.61520624,0.47038308,0.67577016,0.63423336,0.5768379,0.6606741
Fabindia_Kids-Boys_Boys_Maroon_Fashion_Summer_2012_Ethnic_Garment_Measurements_in_Kurtas_Apparel_Top,0.60470605,0.54941535,0.66493815,0.4939062,0.34843302,0.6048002
Just_Natural_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Solid_Garment_Measurements_in_Long_Slee,0.60791624,0.51336527,0.70803714,0.43731865,0.30314612,0.5426027
,0.544837746666667,0.451631623333333,0.63372592,0.510333336666667,0.412253154666667,0.599964672
