Folder,Mean_1,Min_1,Max_1,Mean_2,Min_2,Max_2
Calvin_Klein_Underwear_Adults-Men_Men_White_Fashion_Summer_2016_Casual_Nylon_Elastane_Mid-Rise_Brief,0.62992275,0.55331254,0.6737243,0.65435183,0.56714237,0.6971992
Arrow_Adults-Men_Men_Grey_Fashion_Summer_2012_Formal_Regular_Fit_Checked_Garment_Measurements_in_Sho,0.4105144,0.23499838,0.48845667,0.26082045,0.21369152,0.35985035
Fossil_Adults-Women_Women_White_Fashion_Winter_2016_Casual_Stainless_Steel_1_year_Mechanical_50_m_Ca,0.6118683,0.5088706,0.7020216,0.51622707,0.44891775,0.56582767
Nike_Adults-Unisex_Unisex_Black_Fashion_Winter_2012_Casual_Solid_Embellished_Backpacks_Accessories_B,0.5796256,0.44237727,0.6358224,0.59657335,0.48093987,0.65949184
Remanika_Adults-Women_Women_Pink_Fashion_Summer_2012_Casual_Garment_Measurements_in_Tunics_Apparel_T,0.43186107,0.36302817,0.47887328,0.5190493,0.46962452,0.5554106
United_Colors_of_Benetton_Adults-Men_Men_Pink_Fashion_Summer_2011_Casual_Garment_Measurements_in_Tsh,0.63282394,0.5392191,0.713729,0.5722728,0.3896721,0.66913176
Police_Adults-Women_Women_Brown_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA_Sung,0.75356114,0.7225199,0.7855692,0.68069273,0.6073008,0.7554897
ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Sports_Training_or_Gym_Sports_Shoes_Footwear_Shoes,0.5097803,0.45141873,0.5481955,0.5273548,0.39232177,0.5964631
Nike_Adults-Unisex_Unisex_Black_Fashion_Summer_2011_Casual_NA_Casual_Small_NA_Solid_NA_NA_Up_to_23_L,0.3313113,0.251015,0.3839485,0.39341086,0.33255517,0.46674472
Provogue_Adults-Men_Men_White_Fashion_Fall_2011_Casual_Regular_Fit_Printed_Garment_Measurements_in_S,0.61443913,0.5286457,0.6819191,0.5979888,0.5269711,0.6609175
Fastrack_Adults-Women_Women_Grey_Fashion_Winter_2016_Casual_Rectangle_Sunglasses_1_year_Long_Clear_N,0.75860286,0.7171492,0.80792737,0.70493543,0.60980356,0.78116393
DKNY_Adults-Women_Women_Black_Fashion_Winter_2016_Casual_Synthetic_Hybrid_Mechanical_Non-Resistant_R,0.4393877,0.38480872,0.5050918,0.4811266,0.41911748,0.55575067
SPYKAR_Adults-Women_Women_White_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basics,0.5066304,0.46031576,0.5836608,0.51701033,0.43567014,0.6259865
ADIDAS_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Casual_Shoes_Footwear_Shoes,0.5077006,0.42076933,0.5724021,0.5099311,0.39640236,0.58637697
Puma_Adults-Men_Men_White_Core_Winter_2014_Sports_Running_NA_Lace-Ups_Regular_Sports_Shoes_Footwear_,0.47901806,0.40503874,0.5345947,0.4116766,0.37896985,0.43877363
,0.546469836666667,0.465565809333333,0.606395754666667,0.522697852,0.453875965,0.5869745213
