Image1,Image2,Cosine_Similarity,MSE,KL_Divergence,Manhattan_Distance,Minkowski_Distance
gen_image.png,4_2f7cb266fbb5b59fc8dffee121d9e7a2--vintage-art-prints-dinosaurs.jpg,0.46921116,1.941354,inf,1753.3264,24.886005
gen_image.png,19_screendino067.jpg,0.43187577,2.046753,inf,1803.1549,25.224154
gen_image.png,25_Rex.jpg,0.68843246,1.2688066,inf,1390.3348,21.52519
gen_image.png,20_3c449c6117aff30a3b09df7d08d250a0.jpg,0.52905333,1.7443268,inf,1702.0459,23.074636
gen_image.png,26_londonillustratednews.jpg,0.5861543,1.6445386,inf,1623.1587,22.865053
gen_image.png,6_prehistoric-times-dinosaurs-historical-illustration1859-E4D31D.jpg,0.6096827,1.5519639,inf,1581.1771,22.18301
gen_image.png,9_Megalosaurus.jpg,0.61154693,1.5106456,inf,1562.0645,21.773846
gen_image.png,29_380991_orig.png,0.6040143,1.5301508,inf,1573.2804,21.935991
gen_image.png,7_vintage_1800s_dinosaur_illustration_dinosaurs_postcard-reae6b705b5184faf952d9d44d0e66057_vgbaq_8byvr_540.jpg,0.4073258,2.1124706,inf,1846.9933,25.980951
gen_image.png,16_0b58e9061b4ce30e1be5576b796eefb5.jpg,0.6048968,1.5393105,inf,1578.8254,21.827204
gen_image.png,5_triceratopsfight.jpg,0.51967555,1.8049572,inf,1715.1636,23.742716
gen_image.png,10_dinoinset4.jpg,0.3553031,2.286593,inf,1900.0974,26.848486
gen_image.png,11_x5120294963_573f4f2245_z_v_1401704199.jpg.pagespeed.ic.7ucYSiCqR7.jpg,0.4784462,1.9011307,inf,1732.1506,24.613102
gen_image.png,13_il_1140xN.1548608221_2gci.jpg,0.38135943,2.058983,inf,1787.7728,25.483065
gen_image.png,22_82f79151c70426d4beced8ac9393d92c.jpg,0.50106716,1.817838,inf,1702.1875,24.651884
gen_image.png,8_32d827d326addbfc539d60a81a2bfc0e.jpg,0.4118688,2.0726447,inf,1787.7751,26.073645
gen_image.png,17_2c58c420fd4dfbf26a03e9ada43a12d9.jpg,0.5672834,1.6311464,inf,1562.3729,23.832783
gen_image.png,28_bcacdafa77e43a9dbe2acdb89fdc341e.jpg,0.49192983,1.9675657,inf,1770.0964,25.352327
gen_image.png,3_il_1588xN.1112012693_dr14.jpg,0.5425203,1.7374598,inf,1673.1803,23.166796
gen_image.png,30_f82270b0413150172c6ac59cb479529a.jpg,0.5691199,1.6324687,inf,1575.774,23.460005
gen_image.png,2_302c9d2ddb3f11d0d66b1a4ff8a6b1e9--dinosaur-art-vintage-dinosaur.jpg,0.5605267,1.6943847,inf,1668.7764,22.899536
gen_image.png,18_3b042c5a43e645e20f86dca900824706--antique-illustration-old-books.jpg,0.5970814,1.5557227,inf,1591.2733,22.41776
gen_image.png,12_36573d7d74fe3f02a439665adc9b3807.jpg,0.50170374,1.8172755,inf,1717.233,23.764627
gen_image.png,14_5ab645a039c6367c36dcf109859a4e8b.jpg,0.45438212,1.9719896,inf,1755.835,25.569454
gen_image.png,15_vintage_1800s_dinosaur_illustration_dinosaurs_photo_print-r78771c6d6e294c1fa2e6276338e2ae27_f3b3_8byvr_704.jpg,0.45481962,1.970978,inf,1761.5833,25.094032
gen_image.png,23_s35ad137d93ae4d419294.jpg,0.37185943,2.5830162,inf,2006.9858,29.061941
gen_image.png,21_a953bd14ca4f35b6147a1cf8b1781a19.jpg,0.5730051,1.6264848,inf,1574.8586,23.046635
